Epoch: 11, Valid Loss: 0.053, Valid Acc: 0.982
Epoch: 12, Train Loss: 0.055, Train Acc: 0.983
Epoch: 12, Valid Loss: 0.050, Valid Acc: 0.985
Epoch: 13, Train Loss: 0.053, Train Acc: 0.984
Epoch: 13, Valid Loss: 0.051, Valid Acc: 0.985
Epoch: 14, Train Loss: 0.051, Train Acc: 0.984
Epoch: 14, Valid Loss: 0.048, Valid Acc: 0.985
Epoch: 15, Train Loss: 0.048, Train Acc: 0.985
Epoch: 15, Valid Loss: 0.049, Valid Acc: 0.985
valid acc:  0.9845
Run Params: {'lr': 0.02198, 'batch_size': 573}
Epoch: 1, Train Loss: 0.592, Train Acc: 0.829
Epoch: 1, Valid Loss: 0.285, Valid Acc: 0.913
Epoch: 2, Train Loss: 0.266, Train Acc: 0.917
Epoch: 2, Valid Loss: 0.239, Valid Acc: 0.928
Epoch: 3, Train Loss: 0.246, Train Acc: 0.923
Epoch: 3, Valid Loss: 0.219, Valid Acc: 0.934
Epoch: 4, Train Loss: 0.221, Train Acc: 0.933
Epoch: 4, Valid Loss: 0.195, Valid Acc: 0.943
Epoch: 5, Train Loss: 0.191, Train Acc: 0.942
Epoch: 5, Valid Loss: 0.190, Valid Acc: 0.943
Epoch: 6, Train Loss: 0.178, Train Acc: 0.945
Epoch: 6, Valid Loss: 0.203, Valid Acc: 0.942
Epoch: 7, Train Loss: 0.170, Train Acc: 0.947
Epoch: 7, Valid Loss: 0.162, Valid Acc: 0.952
Epoch: 8, Train Loss: 0.161, Train Acc: 0.951
Epoch: 8, Valid Loss: 0.153, Valid Acc: 0.953
Epoch: 9, Train Loss: 0.154, Train Acc: 0.953
Epoch: 9, Valid Loss: 0.132, Valid Acc: 0.961
Epoch: 10, Train Loss: 0.149, Train Acc: 0.954
Epoch: 10, Valid Loss: 0.134, Valid Acc: 0.959
Epoch: 11, Train Loss: 0.153, Train Acc: 0.954
Epoch: 11, Valid Loss: 0.145, Valid Acc: 0.956
Epoch: 12, Train Loss: 0.145, Train Acc: 0.955
Epoch: 12, Valid Loss: 0.145, Valid Acc: 0.957
Epoch: 13, Train Loss: 0.142, Train Acc: 0.957
